name,color,sex,country,grumpy,fearful_of_people,playful,friendly_to_people,clumsy,greedy,owner_phone,birthday
Chew,black,Female,UK,2,2,5,5,2,2,651-7053700,04/10/2011
Hopie,tabby,Female,France,1,6,6,1,1,1,651-6571818,10/21/2012
Cuervo,brown,Male,UK,5,4,2,6,1,2,651-6069839,05/26/2017
Jezebel,brown,Female,Canada,3,7,5,5,5,7,651-4489511,09/12/2010
Abigail,grey and brown,Male,Canada,7,3,7,5,1,1,651-7665305,08/20/2015
Cointreau,brown,Female,USA,5,1,2,2,3,3,651-8991036,09/13/2004
Beauty,black,Male,Canada,4,3,6,7,5,5,651-7406881,07/31/2012
Grayson,brown,Male,Germany,1,2,7,7,1,1,651-3307470,08/14/2017
Quidditch,orange,Female,France,1,2,7,7,1,1,651-8596611,07/17/2011
Cerberus,salt and pepper,Female,Thailand,5,4,4,3,2,2,651-2014344,08/04/2001
Chad,black,Female,Spain,5,5,3,5,5,6,651-1714366,08/11/2000
Bagel,grey,Male,USA,1,2,3,6,1,5,651-6305167,07/08/2013
Uranus,grey and brown,Female,Australia,3,4,6,3,1,1,651-6284035,12/30/2014
Aramis,grey and black,Female,Germany,2,2,5,5,2,4,651-4848083,09/03/2002
Poser,grey,Female,UK,4,2,5,5,2,4,651-7115585,05/27/2015
Ashley,white,Female,Spain,4,3,5,5,2,5,651-3392871,06/22/2010
Mac,grey and black,Female,New Zealand,2,5,5,5,5,4,651-1993869,07/24/2009
Megabyte,brown,Female,UK,2,3,5,6,2,2,651-6857637,04/25/2016
Jinxy,grey and brown,Female,France,2,5,5,5,1,2,651-7550654,02/27/2017
Kumheer,grey,Female,Canada,6,4,5,6,5,6,651-4194980,12/21/2017
Odette,brown,Male,UK,1,2,7,6,6,5,651-2775047,08/19/2006
Vivaldi,butterscotch,Male,Spain,1,3,6,4,1,1,651-7280629,10/21/2015
Tao,striped,Female,Australia,1,6,3,7,5,1,651-8479377,01/02/2009
Incey & Wincey,tabby,Female,Peru,1,6,7,3,1,1,651-2821001,03/08/2009
Verdi,tabby,Male,China,1,1,7,7,2,3,651-8646395,11/02/2010
Spaghetti,salt and pepper,Male,Germany,2,3,3,4,1,1,651-7402438,02/17/2019
Sally,butterscotch,Female,France,2,5,6,6,3,2,651-1634270,08/27/2005
Porsche,orange,Female,USA,5,2,7,6,1,6,651-6967158,06/24/2015
Orwell,white,Male,Thailand,2,1,6,7,1,1,651-5333843,05/25/2002
Clean-X,black,Female,Canada,2,7,3,1,1,4,651-4515484,03/26/2014
Frederick,tabby,Female,Australia,1,1,7,7,1,1,651-7944231,06/04/2007
Isolda,white,Male,China,3,3,4,5,1,1,651-3716085,02/08/2017
Cupid,grey,Female,Germany,1,2,7,7,2,1,651-4919296,06/13/2019
Tansy,peaches and cream,Female,USA,1,1,2,7,1,6,651-4058621,06/13/2000
Debra,brown,Male,Canada,2,5,6,5,5,5,651-2043620,08/29/2006
Canyon,grey,Female,USA,2,4,5,5,3,4,651-7061336,01/20/2006
Broody,brown,Female,China,7,1,7,7,1,7,651-9013236,02/11/2004
Albert,butterscotch,Male,Canada,7,7,1,1,1,1,651-8799397,08/23/2005
Alberta,grey and brown,Female,New Zealand,5,5,3,6,1,1,651-3799435,08/02/2003
Ginger,grey and black,Male,Peru,2,1,7,7,1,3,651-8938970,04/22/2002
Ella,peaches and cream,Male,France,1,4,6,3,4,1,651-3139235,02/21/2016
Libearty,tabby,Male,Germany,1,4,7,5,6,4,651-7034433,06/15/2000
Heathcliff,striped,Female,China,3,5,5,3,1,3,651-8322265,06/23/2017
Streisand,striped,Male,Thailand,1,2,5,6,2,3,651-4162229,02/17/2020
Vivaldi,brown,Female,China,1,1,7,7,2,2,651-6850749,11/05/2007
Averil,brown,Female,France,2,3,6,6,1,2,651-6433889,01/22/2011
Octavia,striped,Female,Spain,4,2,6,3,1,1,651-8274836,04/29/2016
Gloria,black,Male,France,1,6,7,6,3,5,651-3565016,04/13/2002
Anchovy,tabby,Female,Peru,3,4,6,5,1,4,651-3141807,05/02/2014
Dwight,brown,Male,China,2,5,5,4,1,1,651-7535527,03/08/2011
Kitty-Wan-Kenobi,butterscotch,Male,New Zealand,2,5,5,5,1,3,651-7039284,08/10/2018
Ayesha,striped,Male,Australia,2,6,6,5,2,6,651-5107304,03/18/2016
Gismo,black,Male,Australia,1,3,6,5,5,7,651-4492921,09/15/1999
Brenda,white,Female,New Zealand,1,2,6,7,1,3,651-7866718,10/22/2015
Octavia,striped,Female,UK,6,5,5,5,1,1,651-3240621,07/26/2013
Mohawk,butterscotch,Male,Peru,1,2,6,2,4,4,651-1795725,08/01/2015
Anna,tabby,Male,China,2,7,3,1,5,3,651-2916884,03/12/2012
Gale,grey and brown,Female,UK,1,1,5,7,2,1,651-1898476,02/15/2011
Kiwi,salt and pepper,Female,USA,1,6,6,7,1,1,651-2233633,09/29/2013
Kona,white,Male,France,1,1,5,7,1,1,651-3920598,09/27/2011
Pawndemonium,grey,Male,Canada,6,4,2,3,5,6,651-4552032,02/01/2011
Silas,orange,Female,UK,2,1,6,6,6,6,651-3638313,08/30/2015
Spaghetti,brown,Male,Canada,3,1,3,3,4,7,651-7523761,06/06/2007
Baubles,grey,Female,UK,4,7,1,1,1,1,651-8424302,08/03/2008
Edward,black,Female,Canada,3,7,6,2,1,5,651-7439990,10/20/2017
Vegemite,tabby,Male,Germany,2,2,5,5,1,5,651-5255973,09/17/2019
Stella,black,Female,USA,3,1,5,6,1,6,651-4656801,04/15/2012
Mustard,grey and black,Male,Australia,4,6,4,3,1,3,651-3445392,09/10/2009
Avalon,peaches and cream,Male,Australia,5,2,4,5,5,6,651-2821745,03/24/2012
Big Boy,striped,Male,New Zealand,3,4,6,5,1,2,651-6883372,09/14/2014
Cougar,grey and black,Female,Germany,2,3,5,6,2,4,651-3806801,05/24/2015
Burrito,white,Male,Peru,2,3,3,4,6,3,651-4411696,12/16/2010
Cat-man-do,butterscotch,Male,UK,2,1,6,6,5,5,651-4835362,08/26/2019
Bangkok,grey,Female,Australia,1,6,3,2,1,1,651-8184492,12/08/2004
Picasso,white,Male,Thailand,1,2,6,6,6,7,651-5315423,01/10/2011
Barbra,striped,Female,Thailand,7,1,6,6,1,2,651-7428510,11/20/2009
Ivanhoe,grey,Male,USA,5,7,2,1,2,7,651-4171102,10/04/2010
Mishka,black,Female,France,1,1,5,7,7,1,651-3823048,10/22/2002
Thomas,striped,Female,Germany,2,5,6,5,1,5,651-8549726,04/16/2014
Legolas,butterscotch,Female,France,2,3,6,7,2,5,651-6543898,06/28/2007
Conway,brown,Female,Australia,1,5,6,7,5,2,651-6269593,04/01/2014
Conan,salt and pepper,Male,France,5,7,6,5,7,7,651-8635252,02/06/2014
Winona,salt and pepper,Female,Thailand,6,7,7,1,1,1,651-6403848,04/19/2002
Albertyne,black,Female,Spain,1,2,7,5,1,3,651-4866921,02/07/2014
Molasses,grey and black,Male,Spain,3,5,3,3,5,5,651-5182238,07/05/2014
Rasputin,salt and pepper,Female,France,3,5,5,4,3,3,651-5761726,04/12/2005
Helen,salt and pepper,Male,New Zealand,3,5,5,5,2,1,651-4795154,04/28/2002
Pussamaccattus,grey and black,Male,Spain,5,5,7,6,3,7,651-7857325,06/03/2013
Mushroom,grey,Female,New Zealand,1,7,6,5,1,2,651-7394190,09/03/2010
Piebald,butterscotch,Female,USA,1,5,5,5,5,3,651-5598508,08/24/2016
Freckles,striped,Female,UK,5,1,7,7,6,1,651-1762296,09/24/2015
Lilly,striped,Male,Peru,6,1,4,7,1,5,651-5455846,03/25/2009
Large,brown,Female,Peru,2,5,7,3,1,2,651-1917269,09/12/2003
D.J.,tabby,Female,USA,4,6,4,5,4,4,651-6035529,03/24/2013
Poppy,orange,Female,China,1,4,6,6,5,1,651-7514290,05/05/2014
Winnie,striped,Female,Australia,5,3,6,6,4,7,651-6733871,01/08/2015
Clicquot,salt and pepper,Female,Germany,2,1,3,7,1,5,651-6169371,04/14/2011
Wheresy,striped,Male,USA,3,3,6,5,2,5,651-4426719,05/27/2016
Nancy,striped,Female,UK,3,6,5,3,2,6,651-8717726,05/25/2017
Barley,orange,Female,Australia,3,5,5,2,4,3,651-4810867,12/28/2017
Fishy,white,Male,USA,4,3,5,5,4,3,651-4121456,11/06/2010
Foster,peaches and cream,Male,France,2,5,5,3,5,5,651-8317857,06/26/2009
Cognac,striped,Female,Germany,5,3,6,3,3,7,651-3329212,02/07/2016
Alfred,peaches and cream,Male,Peru,7,7,5,2,4,6,651-4690548,11/21/2006
Whispurr,grey and black,Male,Germany,1,1,5,7,4,4,651-7341632,11/28/2001
Plonk,tabby,Female,UK,2,7,6,1,1,1,651-3294719,06/22/2015
Pots,grey,Female,Australia,4,2,5,5,5,1,651-2438067,04/01/2015
Sassy,butterscotch,Male,New Zealand,1,5,5,6,1,5,651-8783073,04/17/2005
Fibb,striped,Female,UK,1,2,6,6,1,1,651-2729815,05/03/2017
Genny,orange,Male,Peru,1,2,5,5,1,2,651-8241831,12/03/2012
Cato,brown,Female,Thailand,1,2,7,6,1,1,651-8080277,05/26/2008
Pip,brown,Female,Canada,1,1,7,7,4,6,651-7069966,04/26/2014
Gidget,black,Female,Peru,1,6,7,1,2,2,651-2987858,05/28/2001
Hello Kitty,grey,Male,USA,3,1,5,3,3,1,651-7576658,11/03/2010
Gershom,striped,Female,USA,1,1,7,7,5,1,651-2399822,10/24/2005
Earvin,brown,Male,Australia,3,3,7,6,1,3,651-4349679,09/05/2013
Janis,black,Male,France,1,5,2,2,1,1,651-6698259,11/26/2004
Cocoa,grey and brown,Male,Thailand,1,6,5,3,1,2,651-4040685,10/18/2011
Pizza,black,Male,Australia,4,1,4,7,4,7,651-5744725,02/11/2015
Eluned,salt and pepper,Female,Australia,2,7,7,1,2,3,651-5664463,10/24/2016
Marengo,grey,Female,Australia,1,2,7,6,5,4,651-3206467,09/16/2014
Neneh,peaches and cream,Female,China,2,5,2,2,3,2,651-2023206,10/27/2002
Gallagher,striped,Female,Australia,4,1,5,6,3,7,651-5237213,03/25/2010
Megabucks,brown,Female,China,1,6,6,3,5,1,651-2480924,12/22/2015
Kipper,grey and brown,Male,UK,2,3,6,2,2,2,651-1784550,12/01/2011
Lucy,peaches and cream,Female,UK,2,2,5,6,2,5,651-6654278,03/06/2005
Leo,brown,Female,Australia,2,6,5,2,3,1,651-6328861,05/23/2007
Legolas,butterscotch,Male,France,1,4,7,6,1,3,651-7361353,06/03/2014
Noisy,butterscotch,Male,USA,3,1,6,6,5,5,651-2057000,07/30/2014
Treble,brown,Male,UK,1,2,7,7,1,1,651-4406217,10/27/2010
Alfreda,salt and pepper,Female,New Zealand,5,5,6,4,1,1,651-2284560,11/13/2018
Barton,grey,Male,USA,1,3,4,6,5,7,651-5290334,11/19/2007
Sonny,brown,Female,China,5,1,6,7,1,3,651-6377211,09/29/2011
Tootie,orange,Female,Thailand,5,1,6,6,1,7,651-6428757,04/02/2017
Snoochie Boochie,salt and pepper,Male,New Zealand,4,3,5,5,1,4,651-6021516,04/17/2019
Coors,black,Female,France,5,1,5,5,1,1,651-7391890,10/15/2017
Mouser,striped,Female,New Zealand,5,3,5,5,4,4,651-7966216,05/21/2017
Gimpie,tabby,Male,Peru,1,6,5,2,1,1,651-6530652,12/26/2018
Dylan,striped,Female,New Zealand,7,2,6,6,1,3,651-5117966,08/16/2019
Jolene,grey and brown,Male,China,2,4,5,6,1,4,651-7691566,11/21/2012
Aspen,grey and brown,Male,France,2,6,6,2,5,1,651-8979471,09/25/2015
Ethan,white,Female,Peru,1,3,6,3,1,2,651-8077283,10/30/2012
Spaz,salt and pepper,Female,Peru,1,7,6,1,2,3,651-7778588,06/17/2016
Miraclaw,striped,Male,France,1,1,7,7,1,5,651-5010846,11/16/2010
Xerox,salt and pepper,Female,China,5,5,5,4,4,5,651-3754185,09/23/2001
Aragog,brown,Male,USA,3,4,4,4,4,4,651-4261356,11/09/2013
Coca,grey and brown,Female,Canada,5,5,4,3,3,3,651-8427111,04/06/2019
Cat Damon,brown,Female,New Zealand,2,1,6,6,2,6,651-8748826,01/12/2015
Legs,tabby,Female,USA,1,1,7,7,1,1,651-7219099,01/04/2016
Roxanne,striped,Male,China,3,3,4,4,6,2,651-5889949,11/23/2015
Tabitha,grey and black,Female,Germany,2,3,5,7,7,5,651-6174002,02/04/2017
Fishy,grey,Female,China,3,7,5,1,2,6,651-2946308,06/11/2009
Salvador,tabby,Male,Thailand,3,7,6,4,2,7,651-6998653,12/31/2014
Sean,brown,Female,USA,2,1,6,7,5,2,651-4428139,10/17/2005
Bagel,butterscotch,Female,New Zealand,5,4,5,4,4,4,651-2621499,03/15/2010
Astrid,grey,Female,China,5,5,5,5,3,6,651-6489471,11/14/2013
Harvey,tabby,Female,Australia,1,5,6,4,3,5,651-7774977,12/05/2002
Beastmaster,black,Male,Spain,1,7,3,3,6,1,651-5819329,07/30/2008
Herbie,brown,Female,Peru,4,4,5,5,3,5,651-3257901,03/04/2009
Choo,grey and brown,Female,New Zealand,2,7,3,3,2,2,651-3983911,10/23/2015
Elaine,brown,Male,Thailand,1,7,7,4,6,1,651-7888719,03/15/2009
Michelle,black,Female,France,2,1,5,7,1,5,651-1617263,11/04/2008
Angie,brown,Male,France,1,1,6,7,7,2,651-4629998,08/30/2018
Disco,grey and brown,Male,UK,5,7,7,6,5,7,651-1590104,06/09/2016
Monarch,peaches and cream,Female,UK,4,4,7,5,1,1,651-7425433,05/17/2017
Brenda,grey and brown,Male,Spain,1,3,7,6,5,2,651-5750108,04/23/2014
Harrison,white,Male,Thailand,4,1,7,7,1,2,651-5671061,11/25/2010
Bella,white,Female,New Zealand,5,1,6,7,1,6,651-3149112,11/15/2001
Tate,grey and brown,Male,New Zealand,1,6,7,7,2,1,651-4402274,04/02/2018
Marcus,peaches and cream,Male,New Zealand,4,3,7,6,6,7,651-1947778,12/07/2006
Atticus,butterscotch,Female,Thailand,2,1,6,7,1,2,651-5554542,08/08/2004
Daiquiri,butterscotch,Male,New Zealand,1,3,5,5,2,1,651-3723293,08/31/2018
Furrgus,grey,Male,Thailand,1,6,5,2,2,3,651-4381105,02/17/2016
Montezuma,orange,Female,Thailand,6,1,6,7,2,6,651-3316280,09/03/2014
Anika,butterscotch,Male,Spain,3,6,5,5,3,3,651-7713427,07/13/2018
Linux,grey,Female,Australia,3,6,4,6,4,5,651-4336856,12/04/2000
Mouser,black,Male,Germany,2,2,7,6,5,5,651-8905140,05/24/2012
Dough Boy,grey,Female,Thailand,3,7,5,7,1,1,651-8791471,07/02/2019
Church,brown,Male,France,1,1,6,7,3,4,651-6777887,12/19/1999
Fortune,brown,Male,Thailand,1,2,5,6,2,1,651-1952698,03/03/2015
Marengo,butterscotch,Female,USA,1,2,7,6,1,1,651-6717710,11/19/2004
Tansy,striped,Male,USA,1,5,7,7,1,5,651-2829146,12/31/2011
Nibble,striped,Female,China,4,1,6,6,2,5,651-5596410,09/17/2018
Friday,grey and black,Female,China,3,5,5,5,3,5,651-6239635,12/04/2010
Hansel,grey and black,Female,Thailand,1,1,7,7,3,3,651-7608986,12/28/2019
Mufasa,grey,Female,Germany,6,2,5,7,6,7,651-2655170,10/16/2003
Yates,grey,Female,Germany,1,1,6,6,2,2,651-1722549,08/05/2017
Zonker,grey and black,Female,Australia,2,1,6,6,2,2,651-7191130,04/10/2015
Picasso,white,Female,France,1,2,7,7,6,6,651-6345717,07/07/2018
Hamlet,grey,Male,Spain,6,1,7,7,2,5,651-5041881,07/24/2012
Caramel,white,Male,Germany,1,3,6,3,1,1,651-3824781,12/26/2016
Dale,tabby,Female,Spain,1,7,6,1,7,1,651-7735264,04/21/2016
Panthro,grey and black,Male,Thailand,1,2,6,6,3,2,651-3985482,12/27/2019
Tweeter,grey,Male,USA,5,2,6,6,7,6,651-2100108,01/08/2018
Paula,tabby,Female,Australia,6,1,4,2,6,1,651-2140252,07/30/2003
Tina,grey and black,Male,Germany,2,1,5,6,2,5,651-4492175,01/20/2018
Eden,brown,Male,Germany,6,2,6,6,2,6,651-7410302,01/28/2009
Paws,white,Male,Thailand,2,4,6,6,1,1,651-8282399,05/31/2014
Floyd,white,Female,Germany,1,5,6,3,2,1,651-7602036,06/27/2011
Dot,grey and brown,Female,Germany,2,1,7,7,2,1,651-7466539,06/15/2008
Tangelo,white,Male,UK,2,3,4,5,1,2,651-7086683,07/12/2015
Cider,brown,Male,Spain,1,1,7,7,5,5,651-5565894,08/24/2002
Peking,tabby,Female,USA,4,1,3,7,1,6,651-2883848,05/17/2019
Natasha,grey and black,Female,UK,1,4,7,7,7,4,651-8328163,07/03/2012
Jabberwocky,grey and brown,Male,France,2,1,5,7,1,3,651-7613826,09/08/2011
Damon,butterscotch,Female,Germany,1,7,7,2,1,1,651-6664430,04/29/2012
Columbus,black,Female,Australia,3,5,5,3,2,6,651-4669894,05/19/2002
Cozmo,tabby,Female,Peru,4,3,6,6,3,1,651-2602053,06/05/2013
Ayesha,tabby,Female,Australia,1,1,6,6,1,2,651-7045987,09/30/2019
Marlon,black,Male,China,5,1,6,7,2,5,651-8728107,09/11/2015
Abraham,striped,Male,UK,1,5,5,5,6,7,651-8006478,01/11/2014
Hiho,brown,Female,Thailand,2,1,5,7,1,1,651-4463273,10/18/2012
Jessica,butterscotch,Male,France,5,5,7,5,1,6,651-4301001,04/06/2005
William Shakespaw,black,Male,Canada,1,2,5,6,6,3,651-8663207,10/09/2001
Judy,salt and pepper,Male,USA,3,7,7,5,1,1,651-2055896,12/10/2011
Crouton,butterscotch,Male,Germany,6,1,6,7,1,6,651-2787028,02/01/2016
Broody,black,Female,Germany,1,2,5,7,1,1,651-7632914,07/22/2003
Plonk,tabby,Female,Australia,1,6,7,4,1,7,651-7154918,12/09/2002
Elle Mcphupup,brown,Female,Australia,3,1,7,7,4,2,651-3558963,08/04/2006
The Great Catsby,salt and pepper,Male,China,2,1,7,7,2,2,651-6966328,06/29/2017
Violet,tabby,Female,USA,2,5,5,3,6,1,651-2923168,11/28/2009
Camelot,black,Male,Germany,1,5,5,6,6,6,651-3536340,05/20/2016
Arthur,orange,Male,UK,2,7,5,7,1,6,651-8218436,06/27/2018
Dough Boy,black,Female,Germany,6,3,7,7,1,1,651-5868634,06/05/2000
Kitty Poppins,salt and pepper,Male,UK,1,7,5,2,1,7,651-7078307,10/11/2019
Peter,grey and black,Male,China,2,2,7,7,2,6,651-5869432,02/19/2013
Cat Damon,white,Female,Peru,2,7,6,3,2,4,651-3009188,09/24/2014
Pouncer,peaches and cream,Female,Australia,2,3,6,6,1,5,651-4126909,10/23/2005
Wabush,brown,Female,UK,3,2,6,6,1,5,651-3535910,02/29/2008
James,tabby,Female,Spain,1,2,6,6,1,2,651-2430604,09/04/2001
Theodosia,tabby,Female,France,2,2,5,6,5,2,651-2329417,01/30/2018
Joan,orange,Female,USA,2,7,4,5,3,5,651-1853720,05/07/2013
Clarissa,salt and pepper,Female,China,5,5,6,3,1,1,651-8668073,03/09/2012
Natalie,grey and brown,Male,Canada,1,4,7,4,2,6,651-8119556,12/03/2012
Desiree,butterscotch,Female,China,1,4,7,7,1,2,651-1647487,11/19/2017
Moxie,grey and brown,Male,Australia,2,1,7,7,5,2,651-6460800,09/06/2016
Taz,white,Male,USA,2,3,6,3,6,7,651-2386086,12/30/2012
Grizabella,salt and pepper,Female,Canada,3,7,7,7,1,3,651-6081108,02/04/2011
Champers,white,Male,China,4,2,6,7,2,6,651-3630896,07/28/2018
Fergie,grey,Female,USA,1,5,5,5,1,1,651-6152524,08/19/2015
Cat Benatar,butterscotch,Male,Thailand,1,1,5,5,1,1,651-8436731,09/29/2015
Treble,striped,Female,Germany,1,1,7,7,1,1,651-3465130,09/25/2014
Anita,peaches and cream,Female,France,3,5,5,5,3,2,651-6385792,06/17/2005
Frenzy,striped,Female,Germany,2,2,6,6,4,3,651-2217537,03/12/2017
Catpernicus,butterscotch,Male,France,2,3,6,5,1,4,651-2331601,07/01/2017
Davidson,grey and brown,Female,Germany,2,3,4,5,4,4,651-3563464,01/25/2014
Tazz,brown,Female,China,2,7,6,2,1,2,651-7709833,01/16/2011
Irish,tabby,Male,Spain,1,1,7,7,1,7,651-5021016,10/17/2013
Noisy,brown,Female,Thailand,5,6,5,1,1,1,651-3615377,08/05/2015
Jerry,brown,Male,Thailand,1,7,4,1,1,1,651-5610758,04/29/2018
Kitty,black,Male,Canada,1,1,5,6,1,6,651-6349095,08/13/2005
Dandelion,striped,Female,France,6,2,5,5,1,6,651-6872809,12/18/2008
Hugo,butterscotch,Female,Australia,4,5,5,3,4,5,651-6189765,12/23/2014
Spaz,grey,Female,Thailand,2,1,6,7,2,4,651-7426604,01/07/2018
Bartholomew,butterscotch,Female,Thailand,2,5,6,7,5,5,651-5334654,04/04/2007
Daisy,orange,Female,Thailand,7,2,3,5,1,1,651-3871661,05/29/2017
